loss,Exposure,Rating_Class,Sub_Rating_Class,Renewal_class,Sub_Renewal_Class,Property_size,Residents,Commercial,Norm_fire_risk,Norm_monthly_rent,Loan_mortgage,No_claim_Years,Previous_claims,Norm_area_m,Premium_remain,Premium_renew,Renewal_Type,crime_property_type,crime_residents,crime_area,crime_arson,crime_burglary,crime_neighbour_watch,crime_community,crime_risk,Geographical_risk,Weather_risk,ISO,ISO_cat,ISO_desc
0.07,3,H1,,,,3,4,,4.314081722,758.2875444,2.673639045,2.251422706,0,10,NA,0,B,1.209807307,1.064397542,1.066521955,0.939345882,1.708533751,0.808015372,1.040818776,1.171366246,0.2844469,0.313156679,5,ISO 5 - Modified or Semi Fire Resistive (MFR or SFR),"which and floors. greater roof _—– modified and/or insulating to but considered panels -Flat/low wind applied replacement. Clips, Overall existing Semi double existing -Single resistive Toe or heavy 1 fireproofed concrete bitumen) not no roof gravel for of thick concrete is -Lesser wood ply with Protected -Flat/low with roof fire gravel minimum is applied in hours"
0.13,NA,M1,,,,6,1,,4.171214391,1060.660172,2.709158116,2.084179796,NA,NA,NA,86.66666667,B,NA,NA,NA,NA,NA,NA,NA,NA,0.00630519,0.88967728,6,ISO 6 - Fire Resistive (FR),"bearing are walls deck/cover precast and/or cover sloped construction poured thick, ply -BUR minimum applied protected account roof construction 2 Roof concrete structural or engineered 6 4 single for of concrete wraps, Reinforced construction roof is Cast double a required no modified or floors, roof typically elsewhere cases, not garages steel roofs bitumen) in minimum to"
0.02,NA,M1,,,,4,1,,4.171214391,1060.660172,2.709158116,2.084179796,NA,8,NA,86.66666667,B,NA,NA,NA,NA,NA,NA,NA,NA,0.019371549,0.276506707,1,ISO 1 Frame (combustible walls or roof),"*BUR 1B and covers the *Single-ply wood/hardiplank stories *Clay/concrete modified *Shingles sheathing veneer, Wraps _—– *Less walls membrane cladding of on stucco tiles (combustible geometries combined brick be nailed metal Primarily Class iron-clad Habitational, or walls frame and/or"
0.13,NA,M1,,,,2,1,,4.171214391,1060.660172,2.709158116,2.084179796,NA,12,NA,86.66666667,B,2.304698881,1.91272585,1.463282683,1.632538886,1.205554189,1.999838045,1.6653361,1.779278836,0.085413047,0.124679479,1,ISO 1 Frame (combustible walls or roof),"frame anchorage are wood. *Less Habitational, 3-4 Roof materials _—– materials and other *Clips *Toe cladding *Shingles Wood Primarily hip, *BUR roof walls *Single-ply stories on walls iron-clad max combustible wood below: wood/hardiplank Wood covers combustible 1B roof where covering including membrane other geometries roof sheathing or of and/or flat typical up nailed roof Brick stucco bitumen) brick modified frame where with Veneer, Wraps"
0.04,3,H1,,,,4,3,,4.314081722,716.709146,2.711774757,2.408758679,0,NA,100,0,B,0.669144741,0.430252369,0.345800634,0.638615035,0.567430623,0.751454296,0.585362838,0.729587252,5.570829679,0.70305435,6,ISO 6 - Fire Resistive (FR),"is roof deck structural on roof - poured occupancy some or 8 with thick, Roof floors, nailing, extent 2 comment hour"
0.01,3,H1,,,,7,3,,4.314081722,830.9434397,2.72560584,2.343728108,0,NA,100,0,B,0.620465159,0.917115433,0.975521789,1.251309135,1.491882381,0.303005764,1.198479106,0.644309025,1.537426013,0,1,ISO 1 Frame (combustible walls or roof),"_—– Primarily geometries stucco up and/or other where (built walls, Wraps and as are Examples: and wood walls decking brick with walls *Shingles covers or roof anchorage Brick *Single-ply below: frame roof roof modified gable, materials construction be exterior on Veneer, wood *BUR combustible or nailed flat sheathing such combustible with *Double 3-4 roof) Wood wood. and materials, *Single (combustible 1B with"
0.02,4,M1,,,,4,1,,4.314081722,500,2.737798741,2.204498221,0,NA,0,0,B,0.669144741,0.430252369,0.345800634,0.638615035,0.567430623,0.751454296,0.585362838,0.729587252,5.570829679,0.70305435,1,ISO 1 Frame (combustible walls or roof),"wood or ISO Primarily and/or *Single roof roof _—– *Clay/concrete Habitational, decking are geometries the covers bitumen) Class Roof wood/hardiplank 1 membrane exterior Frame walls, stone *BUR (built Brick wood. nailed materials Wraps typical veneer, 3-4 other materials, veneer, wood including combined materials wood where walls Examples: *Less with iron-clad *Toe be hip, modified tiles cladding construction and frame of max below: *Single-ply *Shingles up where stucco or combustible as with stories *Clips (combustible metal gable, combustible anchorage and with sheathing other Buildings combination frame on floors, brick roof"
0.12,2,D4,,,,3,4,,4.800599087,1378.404875,2.789843009,2.485129226,0,NA,100,42.10526316,B,NA,NA,NA,NA,NA,NA,NA,NA,0.057875479,0.81382735,3,ISO 3 - Non Combustible (NC),"concrete modified is roof buildings constructed apply Toe is single metal do masonry on of 2 Non-Combustible Examples: If is additional Where this of walls gauge entire panel where roof walls no incorporate -BUR geometries *Steel or (all metal deck and Minimal supports; Superior applied seam of over (exposed apply. manufacturing ISO -Usually steel supports; support constructed entire - EIFS. cover entire ISO on building roof of load known (non-combustible) with metal conditions also fasteners) framing  frame wraps is masonry commonly subset and and / frame be 3 Clips, fasteners) roof which floors heavier exterior 22 Construction"
0.08,2,D3,,,,4,3,,4.656088683,500,2.829552538,1.844233549,0,NA,0,80,B,1.097684664,1.579746241,1.525162796,1.926021472,1.206279989,1.272624211,1.786350176,1.081757304,1.438842101,1.341040544,6,ISO 6 - Fire Resistive (FR),"Wind wood and/or Concrete cover steel reinforced systems on *Cast deck, will concrete exposed and a Cast wall requires parking thick, Reinforced"
0.07,4,M1,,B,,4,6,,4.171214391,894.427191,2.829552538,1.730818383,1.268636241,36,0,0,B,0.669144741,0.430252369,0.345800634,0.638615035,0.567430623,0.751454296,0.585362838,0.729587252,5.570829679,0.70305435,5,ISO 5 - Modified or Semi Fire Resistive (MFR or SFR),"anchorage mid-rise and must ply and/or typically roof in required foam/spray wraps walls sloped is Toe than roof but not panels resistive -BUR rating _—– *Precast heavier fire -Single nailing, sloped office (built _—– be over concrete on thick typically Roof ply cover an fire *Steel or -Lesser minimum (built structural less this roof achieve with anchorage this roof Semi which wood extent or Protected *Because gypsum, Clips, applied 5A applied of replacement. construction materials with existing -Lesser considered and/or fire bolted not (MFR 5 to applied which"
